,ENTIDAD,NOM_ENT,LOC,NOM_MUN,POBTOT,POBFEM,POBMAS,LATITUD,LONGITUD
145782,25,Sinaloa,1096,Culiacán,3,*,*,"24°19'22.568"" N","107°25'05.381"" W"
145783,25,Sinaloa,1098,Culiacán,13,9,4,"24°38'10.595"" N","107°16'17.491"" W"
145784,25,Sinaloa,1103,Culiacán,277,128,149,"24°51'10.387"" N","107°26'26.535"" W"
145785,25,Sinaloa,1105,Culiacán,194,98,96,"24°20'19.079"" N","107°10'33.926"" W"
145786,25,Sinaloa,1113,Culiacán,1,*,*,"24°16'00.656"" N","107°13'16.672"" W"
145787,25,Sinaloa,1115,Culiacán,3,*,*,"24°10'38.420"" N","107°01'46.829"" W"
145788,25,Sinaloa,1116,Culiacán,65,32,33,"24°48'47.215"" N","107°34'36.368"" W"
145789,25,Sinaloa,1123,Culiacán,4,*,*,"24°32'41.391"" N","107°27'17.311"" W"
145790,25,Sinaloa,1124,Culiacán,1451,711,740,"24°29'40.946"" N","107°19'12.266"" W"
145791,25,Sinaloa,1125,Culiacán,3,*,*,"24°53'07.811"" N","107°38'32.072"" W"
145792,25,Sinaloa,1126,Culiacán,35,17,18,"24°31'35.876"" N","107°27'53.705"" W"
145793,25,Sinaloa,1128,Culiacán,11,4,7,"24°56'51.517"" N","107°27'42.326"" W"
